a2018,a2017,a2016,a2015,a2014,a2013,a2012,a2011,a2010,a2009,a2008,a2007,a2006,a2005,a2004,a2003,a2002,a2001,a2000,a1999,a1998,a1997,a1996,a1995,a1994
4121,85733,134891,131759,130051,118884,105232,82131,71700,60274,57328,53095,39826,27264,19074,11347,6763,3257,1242,135,,,,,
,3543,84223,135080,153048,144092,129381,100576,88704,75416,72541,68095,50759,34911,24388,14414,8473,4060,1622,134,,,,,
,,3566,74105,142589,150640,137613,108659,96773,83031,80042,76204,56732,38499,26794,15800,9429,4419,1786,173,107,,,,
,,,3009,82734,133796,134147,107700,96610,83491,80295,77144,57941,39248,27394,15898,9531,4547,1765,149,98,76,,,
,,,,4619,73469,124076,109029,98403,86088,83249,79753,59992,40604,27708,16392,9592,4672,1824,161,96,72,44,,
,,,,,3025,69001,99667,98700,87132,86932,83959,63635,42910,29746,17688,10689,5077,2051,204,103,66,46,,
,,,,,,3291,62807,93243,88381,91244,89791,68877,46292,32261,19132,11678,5531,2277,201,112,88,43,,
,,,,,,,2822,49884,76682,85335,85868,66998,45333,31533,19008,11631,5674,2379,212,118,75,42,50,
,,,,,,,,2630,42456,67810,78204,64190,43827,30621,18495,11448,5547,2228,222,121,85,43,36,
,,,,,,,,,2167,29825,56597,53358,36785,26216,15758,9496,4570,1770,169,98,67,34,34,21
